cell,window_type,max_train_events,val_step_events,min_train_events,best_mse,mean_r2,std_r2,mean_mse,std_mse,n_folds,best_trial,best_params,elapsed_seconds,n_trials
expanding:10,expanding,,10,700,0.0007281810889538724,-0.017161562746646358,0.2570587583919853,0.0007281810889538724,0.0004354040090771452,,86,"{'n_estimators': 150, 'max_depth': 2, 'learning_rate': 0.20406608221423692, 'min_child_weight': 12, 'subsample': 0.6, 'colsample_bytree': 0.5, 'gamma': 0.0008858249068918189, 'reg_alpha': 0.0003473773802079661, 'reg_lambda': 3.4321991009308697}",95.6,100
expanding:50,expanding,,50,700,0.0007569477646029554,0.04082428812980652,0.05890653879003791,0.0007569477646029554,0.00025130220515052636,,91,"{'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.26946012982789086, 'min_child_weight': 41, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.0016981438640326259, 'reg_alpha': 0.06579755442063495, 'reg_lambda': 2.0847238768056}",25.1,100
expanding:150,expanding,,150,700,0.0007930917878790448,0.019064565499623615,0.043185065203524595,0.0007930917878790448,0.00011778486914035518,,31,"{'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.1460762684583714, 'min_child_weight': 35, 'subsample': 0.8, 'colsample_bytree': 0.9, 'gamma': 0.0017329957946346083, 'reg_alpha': 0.0003868323449536231, 'reg_lambda': 0.7884996641446289}",11.4,100
sliding-95:10,sliding,95.0,10,95,0.0007517694712468663,-0.11006771348005423,0.1629646700144716,0.0007517694712468663,0.0004110627652375629,,93,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.26200760360238107, 'min_child_weight': 42, 'subsample': 0.8, 'colsample_bytree': 0.5, 'gamma': 0.1894996698718966, 'reg_alpha': 0.05253288790236368, 'reg_lambda': 3.8290725574188778}",112.9,100
sliding-95:50,sliding,95.0,50,95,0.0007483043482352514,-0.014696735888719559,0.024230101848633882,0.0007483043482352514,0.00021915165808705257,,86,"{'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.29873541918253643, 'min_child_weight': 19, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.1606023194678457, 'reg_alpha': 0.00044849357694523584, 'reg_lambda': 0.9598516750286016}",30.4,100
sliding-95:150,sliding,95.0,150,95,0.0007580891251564026,-0.010480058193206788,0.013610457901484048,0.0007580891251564026,0.00010321409360025536,,97,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.2641811137813442, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.04020724457504003, 'reg_alpha': 0.04869734937018106, 'reg_lambda': 4.897046549542754}",13.9,100
sliding-190:10,sliding,190.0,10,190,0.0007485457274871057,-0.09850812425800398,0.1779282630465268,0.0007485457274871057,0.0004135092773767731,,98,"{'n_estimators': 350, 'max_depth': 3, 'learning_rate': 0.2768640939034155, 'min_child_weight': 50, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.34424209799038114, 'reg_alpha': 0.0007105237005835402, 'reg_lambda': 0.994013874128666}",109.8,100
sliding-190:50,sliding,190.0,50,190,0.0007556117469600091,-0.012124117215474446,0.030057868313113648,0.0007556117469600091,0.00020649432337854607,,36,"{'n_estimators': 350, 'max_depth': 2, 'learning_rate': 0.22585524589455724, 'min_child_weight': 16, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 0.0042691916317070255, 'reg_alpha': 0.16778737572263616, 'reg_lambda': 2.783556606741625}",31.1,100
sliding-190:150,sliding,190.0,150,190,0.0007415598840452731,0.016349703073501587,0.01455900523715738,0.0007415598840452731,0.00011815564538278225,,70,"{'n_estimators': 400, 'max_depth': 2, 'learning_rate': 0.295894131626306, 'min_child_weight': 25, 'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.0008721454739089099, 'reg_alpha': 0.00647115365513423, 'reg_lambda': 4.71089919535385}",15.1,100
sliding-380:10,sliding,380.0,10,380,0.0007059452579610411,-0.038355842455109555,0.20819562532560917,0.0007059452579610411,0.0004074324245509423,,86,"{'n_estimators': 250, 'max_depth': 2, 'learning_rate': 0.24774684803334868, 'min_child_weight': 43, 'subsample': 0.5, 'colsample_bytree': 0.8, 'gamma': 0.0008858249068918189, 'reg_alpha': 0.19204975744716138, 'reg_lambda': 4.8336469067528816}",105.2,100
sliding-380:50,sliding,380.0,50,380,0.0007324668605668613,0.026166127278254583,0.05952286065201962,0.0007324668605668613,0.00024374587147137265,,86,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.24690148992970415, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.0008858249068918189, 'reg_alpha': 0.0018209160132227759, 'reg_lambda': 0.6553824720850697}",27.9,100
sliding-380:150,sliding,380.0,150,380,0.000751525025407318,0.019452810287475586,0.034271139963835295,0.000751525025407318,0.00013842382547487618,,95,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.027145937656739838, 'min_child_weight': 28, 'subsample': 0.5, 'colsample_bytree': 0.8, 'gamma': 0.001536353514687241, 'reg_alpha': 0.0035760041615742603, 'reg_lambda': 3.0559324861949713}",12.9,100
sliding-760:10,sliding,760.0,10,760,0.0007890240782823336,-0.13683086882034937,0.25551378614619463,0.0007890240782823336,0.0004081852350596353,,99,"{'n_estimators': 350, 'max_depth': 3, 'learning_rate': 0.2368827185301462, 'min_child_weight': 49, 'subsample': 0.5, 'colsample_bytree': 0.8, 'gamma': 0.5828364976318869, 'reg_alpha': 0.0006454729012449895, 'reg_lambda': 3.8985456702253054}",85.3,100
sliding-760:50,sliding,760.0,50,760,0.0007939768823378376,-0.025512676489980596,0.03753292500046949,0.0007939768823378376,0.00027622371855630325,,94,"{'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.2992910464206549, 'min_child_weight': 12, 'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.49325800999128494, 'reg_alpha': 0.006330733889860217, 'reg_lambda': 4.029215168756637}",23.8,100
sliding-760:150,sliding,760.0,150,760,0.0007581267176040759,0.032035241524378456,0.0604710288624733,0.0007581267176040759,0.00014251539675342445,,86,"{'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.2361574747297489, 'min_child_weight': 28, 'subsample': 0.6, 'colsample_bytree': 0.5, 'gamma': 0.0008858249068918189, 'reg_alpha': 0.0011838627458412854, 'reg_lambda': 1.7021846091366213}",11.9,100
