group,model,n_features,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,fold_r2s,fold_mses,n_total
tabular,ridge,14,-0.01616517702738444,0.008611512908804197,0.0017606382025405765,0.001006619952542343,0.02692997766037782,0.005228108590764165,"[-0.022017359733581543, -0.003989696502685547, -0.02248847484588623]","[0.0012973631964996457, 0.0008265322539955378, 0.003158019157126546]",538
tabular,xgboost,14,-0.00646740198135376,0.005092535560908491,0.0017402567706691723,0.0009926217881796955,0.02668170879284541,0.005155657097677277,"[0.0007123351097106934, -0.009567975997924805, -0.010546565055847168]","[0.0012685097754001617, 0.0008311245474033058, 0.003121135989204049]",538
trajectory,ridge,23,-0.23680758476257324,0.14476277597322865,0.0020672681275755167,0.0010170648632983376,0.029671685770154,0.005491381435948907,"[-0.43859052658081055, -0.16586816310882568, -0.1059640645980835]","[0.001826167106628418, 0.0009597982279956341, 0.003415839048102498]",538
trajectory,xgboost,23,-0.01853203773498535,0.027620976218769935,0.0017858573895258207,0.0010627630947439807,0.026761357362071674,0.005648069142085392,"[-0.0004171133041381836, 0.002381563186645508, -0.05756056308746338]","[0.0012699435465037823, 0.0008212871034629643, 0.003266341518610716]",538
pm_cross_source,ridge,9,-0.013904571533203125,0.009963630354618357,0.001755753163403521,0.0010077291561962287,0.02676853413383166,0.005276577115848379,"[2.7418136596679688e-06, -0.018895864486694336, -0.022820591926574707]","[0.0012694105971604586, 0.0008388036512769759, 0.0031590452417731285]",538
pm_cross_source,xgboost,9,-0.012781798839569092,0.009080081908616124,0.0017527385304371517,0.0010039155934490455,0.026593982552488644,0.005201890794905785,"[1.9729137420654297e-05, -0.018309354782104492, -0.020055770874023438]","[0.0012693890603259206, 0.0008383208187296987, 0.0031505057122558355]",538
sharp_retail,ridge,3,-0.0033848086992899575,0.02300990521966476,0.0017552888214898605,0.0010348870506399746,0.02663613234957059,0.005537037085129372,"[0.003440380096435547, 0.020757019519805908, -0.03435182571411133]","[0.001265046768821776, 0.0008061595144681633, 0.0031946601811796427]",538
sharp_retail,xgboost,3,-0.01451955238978068,0.02007224873674462,0.0017714127704190712,0.0010410692543782712,0.0267978273332119,0.005502853179484223,"[7.230043411254883e-05, -0.0007287263870239258, -0.042902231216430664]","[0.0012693223543465137, 0.0008238476584665477, 0.003221068298444152]",538
all_no_pm,ridge,38,-0.17694830894470215,0.08075049650600029,0.0019616660429164767,0.0009746851204441191,0.029151385029157,0.004998107141103251,"[-0.2583324909210205, -0.20563507080078125, -0.06687736511230469]","[0.0015973449917510152, 0.000992536311969161, 0.003295116825029254]",538
all_no_pm,xgboost,38,-0.014798919359842936,0.012415231873233639,0.0017626482294872403,0.0010206114252030018,0.026678383971254032,0.005315736403426989,"[-0.0006175041198730469, -0.012924551963806152, -0.03085470199584961]","[0.0012701979139819741, 0.0008338878396898508, 0.003183858934789896]",538
all,ridge,47,-0.1113723913828532,0.08356224108710089,0.0018693967334305246,0.0009967767795767384,0.028477247183521587,0.0050254176624150255,"[-0.04692208766937256, -0.2293797731399536, -0.0578153133392334]","[0.001328977639786899, 0.001012084074318409, 0.003267128486186266]",538
all,xgboost,47,-0.010530591011047363,0.011399137273322181,0.0017552068068956335,0.0010155571003246271,0.02653736062347889,0.005254082181876895,"[0.0011358261108398438, -0.0067288875579833984, -0.025998711585998535]","[0.0012679722858592868, 0.0008287872187793255, 0.0031688609160482883]",538
sequence_pregame,lstm,15,-0.014854689439137777,0.02592270101254524,0.000828492067133387,0.0001865449706489093,0.020079564303159714,0.0018489015033522319,"[-0.04848980903625488, 0.014591753482818604, -0.01066601276397705]","[0.0007662735297344625, 0.0006375761586241424, 0.0010816265130415559]",228
sequence_time_range,lstm,15,-0.008776545524597168,0.025981742476520128,0.0016660902183502913,0.0008578531247328135,0.026706244175632794,0.0045651250153116415,"[-0.022171497344970703, -0.031710267066955566, 0.027552127838134766]","[0.0012975588906556368, 0.0008493531495332718, 0.002851358614861965]",717
all_tier,xgboost,47,-0.023602406183878582,0.013124549289991997,0.0008511775716518363,0.0002185883000413405,0.019631030037999153,0.001423959831992503,"[-0.019101619720458984, -0.010258316993713379, -0.04144728183746338]","[0.0007419792818836868, 0.0006553209968842566, 0.0011562324361875653]",171
