hour_bin,feature,correlation,p_value,n_valid
0-3h,tab_consensus_prob,-0.21210894,0.006236732939226737,165
0-3h,tab_sharp_prob,-0.2116055,0.006363743551779888,165
0-3h,tab_retail_sharp_diff,0.028359193,0.7176632416659865,165
0-3h,tab_num_bookmakers,-0.0011274379,0.9885326684976478,165
0-3h,tab_is_weekend,-0.122490935,0.11702814394649433,165
0-3h,tab_day_of_week,-0.24753572,0.0013481972172728423,165
0-3h,inj_impact_out_home,-0.007899156,0.9197911492348326,165
0-3h,inj_impact_out_away,-0.25564298,0.0009194716371183832,165
0-3h,inj_impact_gtd_home,0.12917785,0.09820062279884872,165
0-3h,inj_impact_gtd_away,0.27831724,0.0002949957758417075,165
0-3h,inj_report_hours_before_game,-0.0152370855,0.8459822271040698,165
0-3h,inj_injury_news_recency,-0.0068739676,0.9301727836698525,165
3-6h,tab_consensus_prob,-0.11638893,0.013081858603627003,454
3-6h,tab_sharp_prob,-0.120045975,0.010465221395316467,454
3-6h,tab_retail_sharp_diff,0.09424101,0.04475474181607459,454
3-6h,tab_num_bookmakers,0.0050641494,0.9143082100374779,454
3-6h,tab_is_weekend,-0.017422264,0.7112134642155642,454
3-6h,tab_day_of_week,-0.013542521,0.7735211232811136,454
3-6h,inj_impact_out_home,-0.012810757,0.7854529101947954,454
3-6h,inj_impact_out_away,-0.003529256,0.9402203541749987,454
3-6h,inj_impact_gtd_home,-0.02088095,0.6572322098774299,454
3-6h,inj_impact_gtd_away,0.022804406,0.627944006897893,454
3-6h,inj_report_hours_before_game,-0.015414554,0.7432466006173146,454
3-6h,inj_injury_news_recency,-0.069780275,0.1376663036865475,454
6-9h,tab_consensus_prob,-0.0767539,0.11671003894906078,419
6-9h,tab_sharp_prob,-0.079043694,0.10616344357704853,419
6-9h,tab_retail_sharp_diff,0.0735103,0.13303101404234388,419
6-9h,tab_num_bookmakers,0.023010025,0.6385991045080575,419
6-9h,tab_is_weekend,-0.038759872,0.4287566409873644,419
6-9h,tab_day_of_week,0.01692505,0.7297652243783812,419
6-9h,inj_impact_out_home,0.031962357,0.514100529778184,419
6-9h,inj_impact_out_away,-0.06937081,0.15635076194353908,419
6-9h,inj_impact_gtd_home,0.07863811,0.10797487474602235,419
6-9h,inj_impact_gtd_away,0.025838995,0.5979029646309737,419
6-9h,inj_report_hours_before_game,0.0146650225,0.7647076888344272,419
