feature,correlation,p_value,n_valid
tab_retail_sharp_diff,0.3554934,5.191051711693758e-26,826
inj_report_hours_before_game,-0.082019076,0.018391029674252827,826
inj_injury_news_recency,-0.061075773,0.07937713112499359,826
inj_impact_out_away,-0.04337529,0.21301692907446904,826
tab_num_bookmakers,-0.04081457,0.24130549290634984,826
tab_is_weekend,0.034729067,0.3188073746592073,826
tab_sharp_prob,-0.02513379,0.47068050533952227,826
inj_impact_gtd_home,-0.021987459,0.5280123848309299,826
hours_until_event,0.021981426,0.5281242671803651,826
tab_day_of_week,0.012228672,0.7256355014811813,826
inj_impact_gtd_away,0.011995152,0.7306696804512987,826
inj_impact_out_home,0.0067170253,0.8471493597512141,826
tab_consensus_prob,0.00017028283,0.9961022993073954,826
