feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,univariate_r2,abs_r
diff_cumulative_starts_lost,1684,-0.2775656142046329,3.6333350749529986e-31,-0.2653990332818507,1.5288247348389358e-28,0.0770426701887951,0.2775656142046329
diff_cumulative_starts_lost_roll3,1684,-0.22900680397119702,1.775159801149205e-21,-0.21114518671737803,2.0025098849354534e-18,0.05244411626510226,0.22900680397119702
away_cumulative_starts_lost,1709,0.21182826032054558,8.657388654681014e-19,0.2128750820833299,5.790557753653058e-19,0.04487121187042883,0.21182826032054558
diff_xi_jaccard,1684,0.18477879157138585,2.122821042259389e-14,0.18147265053157466,6.195958069642662e-14,0.03414320181458166,0.18477879157138585
diff_xi_changes,1684,-0.18369495555439583,3.022564103666012e-14,-0.1793504491493111,1.2193684700533374e-13,0.03374383669613146,0.18369495555439583
away_cumulative_starts_lost_roll3,1709,0.1829612896231963,2.4876392806415414e-14,0.17678223803072238,1.826928545252244e-13,0.03347483350058312,0.1829612896231963
home_cumulative_starts_lost,1704,-0.15493771665522332,1.2766447517550354e-10,-0.12772736968684292,1.2208984877805822e-07,0.024005696042334268,0.15493771665522332
away_xi_jaccard,1709,-0.1391609494190224,7.6116117385859e-09,-0.14348811680372112,2.5483985903569828e-09,0.019365769843203713,0.1391609494190224
diff_xi_changes_roll3,1684,-0.1385536459813451,1.1357493153036527e-08,-0.12769222666798713,1.4587144117552893e-07,0.019197112814723905,0.1385536459813451
diff_xi_jaccard_roll3,1684,0.13363744944857067,3.698862197416243e-08,0.12445024308973404,3.004781280906926e-07,0.01785896789511928,0.13363744944857067
away_xi_changes,1709,0.1314932116510744,4.8790449800922184e-08,0.14348811680372112,2.5483985903569828e-09,0.017290464710314243,0.1314932116510744
away_xi_jaccard_roll3,1709,-0.11210080743007109,3.392344772666113e-06,-0.10608718471881944,1.1085033740527597e-05,0.01256659102647388,0.11210080743007109
away_xi_changes_roll3,1709,0.10922257304562649,6.025058145444888e-06,0.10823482744346456,7.3140378788419365e-06,0.011929570462707215,0.10922257304562649
home_xi_changes,1704,-0.10890296131873956,6.6194774411433905e-06,-0.09738551002865332,5.657649270638722e-05,0.011859854983990883,0.10890296131873956
home_cumulative_starts_lost_roll3,1704,-0.10868505614695516,6.908063280074706e-06,-0.09246460205729132,0.00013222043199527425,0.011812441429666795,0.10868505614695516
away_expected_disruption,1498,0.10606819469443733,3.897973047902715e-05,0.10623976830182492,3.7864705990134384e-05,0.011250461925737063,0.10606819469443733
home_xi_jaccard,1704,0.10449521116906721,1.5449119576196466e-05,0.09738551002865332,5.657649270638722e-05,0.010919249157267948,0.10449521116906721
diff_expected_disruption,1498,-0.10364239956886871,5.848180025005674e-05,-0.08730696560400761,0.0007175883458707076,0.010741746988393037,0.10364239956886871
diff_cumulative_starts_lost_tendency_3,1677,-0.0743658075366972,0.0023089347967640197,-0.06297948503595245,0.009887959699938364,0.005530273330585091,0.0743658075366972
away_cumulative_starts_lost_tendency_3,1703,0.07336728004508504,0.002449274608584433,0.06917671243427538,0.004289202615832744,0.005382757781213933,0.07336728004508504
home_xi_changes_roll3,1704,-0.07070308724230535,0.0034991491851842776,-0.05833510342812594,0.01602569277785575,0.004998926545593042,0.07070308724230535
away_cumulative_starts_lost_tendency_5,1703,0.06821638117642397,0.004857602288774354,0.06658586636833454,0.005980285808427777,0.00465347466080717,0.06821638117642397
diff_cumulative_starts_lost_tendency_5,1677,-0.06479858624200723,0.007945180820514541,-0.05168221628566953,0.034320615237464464,0.004198856778962848,0.06479858624200723
home_xi_jaccard_roll3,1704,0.06322168733931544,0.009042096138845754,0.054633081966721855,0.024117158133377278,0.003996981750030158,0.06322168733931544
diff_xi_changes_tendency_3,1677,-0.04231593304059581,0.08320740526785345,-0.03575376573636535,0.14332091760337862,0.0017906381890961884,0.04231593304059581
away_xi_changes_tendency_3,1703,0.03990113575534994,0.09975069886863162,0.036559357230287914,0.13152720671683482,0.0015921006345668654,0.03990113575534994
home_expected_disruption,1498,-0.032726563824817145,0.20553785139948402,-0.01620429842721745,0.5308632144199452,0.0010710279797798302,0.032726563824817145
home_expected_disruption_unweighted,1498,-0.031562521865959314,0.222131299352358,-0.02828488575451443,0.27393594897035906,0.0009961927865391599,0.031562521865959314
diff_gk_changed,1684,-0.0314023403346725,0.1977441946802781,-0.028379410626126197,0.2444388761087612,0.0009861069784945994,0.0314023403346725
diff_xi_changes_tendency_5,1677,-0.030503021224880127,0.21185015400028093,-0.01802638482846405,0.4606898259350861,0.0009304343038454875,0.030503021224880127
away_xi_changes_tendency_5,1703,0.027804546236001235,0.25146382662795963,0.02479599713663173,0.3064626029785526,0.0007730927913899304,0.027804546236001235
away_gk_changed,1709,0.02770332511363995,0.25235886798247487,0.0378678907343773,0.11761187405224409,0.0007674742223520339,0.02770332511363995
diff_expected_disruption_unweighted,1498,-0.025730223936116625,0.3196408694995303,-0.01620547923413536,0.5308332704530137,0.0006620444238027089,0.025730223936116625
home_n_flagged_players,1498,-0.020022583723736234,0.43870320995021334,-0.014601327759333992,0.5722858536454224,0.00040090385897402714,0.020022583723736234
diff_n_flagged_players,1498,-0.01870506503069726,0.4694219618451166,-0.005885996111580023,0.8199390075679153,0.0003498794578026135,0.01870506503069726
home_cumulative_starts_lost_tendency_3,1703,-0.01860900254479763,0.44281512556148694,-0.003559018777615088,0.8833181827411295,0.00034629497571228465,0.01860900254479763
home_cumulative_starts_lost_tendency_5,1703,-0.013921219933567711,0.565900920782699,0.006157887455623329,0.7995450392755228,0.000193800364438763,0.013921219933567711
home_xi_changes_tendency_3,1703,-0.012932237265225459,0.5938186455997339,0.0020664635791494907,0.9320903879659657,0.00016724276068408604,0.012932237265225459
home_xi_changes_tendency_5,1703,-0.010628611868301887,0.6611646774082661,0.01296107728763319,0.5929956837477269,0.00011296739024700771,0.010628611868301887
home_gk_changed,1704,-0.007117502159921076,0.7690671700332375,0.009244651999600253,0.7029487148845994,5.065883699648118e-05,0.007117502159921076
away_expected_disruption_unweighted,1498,-0.00322538749601624,0.9007360952684057,-0.005784875892155311,0.8229807585188837,1.040312449945791e-05,0.00322538749601624
away_n_flagged_players,1498,0.0005839559916042482,0.9819832469285656,-0.003286611166191526,0.8988619070754598,3.410046001305008e-07,0.0005839559916042482
