event_id,target,home_team,away_team,match_date,home_xi_jaccard,away_xi_jaccard,diff_xi_jaccard,home_xi_changes,away_xi_changes,diff_xi_changes,home_cumulative_starts_lost,away_cumulative_starts_lost,diff_cumulative_starts_lost,home_xi_jaccard_roll3,away_xi_jaccard_roll3,diff_xi_jaccard_roll3,home_xi_changes_roll3,away_xi_changes_roll3,diff_xi_changes_roll3,home_cumulative_starts_lost_roll3,away_cumulative_starts_lost_roll3,diff_cumulative_starts_lost_roll3,home_xi_changes_tendency_3,away_xi_changes_tendency_3,diff_xi_changes_tendency_3,home_cumulative_starts_lost_tendency_3,away_cumulative_starts_lost_tendency_3,diff_cumulative_starts_lost_tendency_3,home_xi_changes_tendency_5,away_xi_changes_tendency_5,diff_xi_changes_tendency_5,home_cumulative_starts_lost_tendency_5,away_cumulative_starts_lost_tendency_5,diff_cumulative_starts_lost_tendency_5,home_gk_changed,away_gk_changed,diff_gk_changed,home_expected_disruption,home_expected_disruption_unweighted,home_n_flagged_players,away_expected_disruption,away_expected_disruption_unweighted,away_n_flagged_players,diff_expected_disruption,diff_expected_disruption_unweighted,diff_n_flagged_players
op_2021-2022_BRE_ARS_2021-08-13,0.011905232,Brentford,Arsenal,2021-08-13,,0.375,,,5.0,,,103.0,,,0.5865384615384616,,,3.0,,,56.0,,,3.0,,,41.666666666666664,,,4.8,,,73.8,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_MANUTD_LEE_2021-08-14,-0.031016879,Manchester Utd,Leeds,2021-08-14,0.047619047619047616,0.375,-0.3273809523809524,10.0,5.0,5.0,62.0,64.0,-2.0,0.2222222222222222,0.5462454212454212,-0.324023199023199,7.666666666666667,3.3333333333333335,4.333333333333334,125.0,66.66666666666667,58.33333333333333,7.666666666666667,2.3333333333333335,5.333333333333334,129.66666666666666,54.333333333333336,75.33333333333331,6.8,1.8,5.0,132.2,40.2,91.99999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_BUR_BRI_2021-08-14,0.0,Burnley,Brighton,2021-08-14,0.5714285714285714,0.375,0.1964285714285714,3.0,5.0,-2.0,37.0,85.0,-48.0,0.6990231990231991,0.6335470085470086,0.06547619047619047,2.0,2.6666666666666665,-0.6666666666666665,28.666666666666668,47.0,-18.333333333333332,1.3333333333333333,1.6666666666666667,-0.3333333333333335,27.0,39.0,-12.0,0.8,1.6,-0.8,16.2,32.4,-16.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_EVE_SOU_2021-08-14,-0.019505534,Everton,Southampton,2021-08-14,0.5714285714285714,0.15789473684210525,0.41353383458646614,3.0,8.0,-5.0,70.0,189.0,-119.0,0.6520146520146519,0.36810776942355883,0.2839068825910931,2.3333333333333335,5.333333333333333,-2.9999999999999996,52.333333333333336,109.0,-56.666666666666664,1.6666666666666667,3.3333333333333335,-1.6666666666666667,36.333333333333336,60.333333333333336,-24.0,2.0,2.8,-0.7999999999999998,40.8,47.8,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_WAT_ASTVIL_2021-08-14,-0.02551785,Watford,Aston Villa,2021-08-14,,0.4666666666666667,,,4.0,,,97.0,,,0.6793650793650793,,,2.3333333333333335,,,47.666666666666664,,,2.3333333333333335,,,42.333333333333336,,,1.6,,,32.2,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_LEI_WOL_2021-08-14,-0.013028679,Leicester,Wolves,2021-08-14,0.4666666666666667,0.29411764705882354,0.17254901960784313,4.0,6.0,-2.0,87.0,147.0,-60.0,0.7111111111111111,0.413515406162465,0.2975957049486461,2.0,4.666666666666667,-2.666666666666667,39.0,88.33333333333333,-49.33333333333333,1.3333333333333333,4.0,-2.666666666666667,20.666666666666668,65.33333333333333,-44.66666666666666,1.2,4.0,-2.8,19.8,71.4,-51.60000000000001,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_CHE_CRYPAL_2021-08-14,-0.029172674,Chelsea,Crystal Palace,2021-08-14,0.5714285714285714,0.4666666666666667,0.10476190476190472,3.0,4.0,-1.0,75.0,61.0,14.0,0.6238095238095238,0.617094017094017,0.006715506715506803,2.6666666666666665,2.6666666666666665,0.0,49.333333333333336,42.333333333333336,7.0,4.0,3.0,1.0,70.0,61.0,9.0,4.4,2.8,1.6000000000000005,82.6,53.2,29.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_NOR_LIV_2021-08-14,0.03992425,Norwich,Liverpool,2021-08-14,,0.2222222222222222,,,7.0,,,175.0,,,0.6851851851851852,,,2.6666666666666665,,,62.666666666666664,,,1.0,,,19.0,,,1.2,,,24.6,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
op_2021-2022_NEW_WESHAM_2021-08-15,-0.008703265,Newcastle,West Ham,2021-08-15,0.4666666666666667,0.8333333333333334,-0.3666666666666667,4.0,1.0,3.0,53.0,16.0,37.0,0.7666666666666666,0.7393162393162392,0.027350427350427364,1.6666666666666667,1.6666666666666667,0.0,25.333333333333332,32.0,-6.666666666666668,0.6666666666666666,2.3333333333333335,-1.666666666666667,15.333333333333334,37.666666666666664,-22.33333333333333,1.0,2.4,-1.4,20.4,38.6,-18.200000000000003,1.0,0.0,1.0,,,,,,,,,
op_2021-2022_TOT_MANCIT_2021-08-15,-0.016090797,Tottenham,Manchester City,2021-08-15,0.4666666666666667,0.29411764705882354,0.17254901960784313,4.0,6.0,-2.0,82.0,121.0,-39.0,0.6170940170940171,0.32107843137254904,0.2960155857214681,2.6666666666666665,5.666666666666667,-3.0000000000000004,45.666666666666664,107.66666666666667,-62.00000000000001,1.6666666666666667,5.333333333333333,-3.666666666666666,24.666666666666668,99.33333333333333,-74.66666666666666,1.4,5.0,-3.6,23.2,94.0,-70.8,0.0,0.0,0.0,,,,,,,,,
