feature,count,null_count,null_pct,mean,std,min,max,nunique
tab_consensus_prob,1730,0,0.0,0.459919,0.203693,0.055122,0.935792,1725
tab_sharp_prob,1730,0,0.0,0.455797,0.204012,0.052743,0.934598,506
tab_retail_sharp_diff,1730,0,0.0,0.008849,0.008674,-0.021622,0.071897,1390
tab_num_bookmakers,1730,0,0.0,7.852023,0.62608,7.0,9.0,3
tab_is_weekend,1730,0,0.0,0.766474,0.423074,0.0,1.0,2
tab_day_of_week,1730,0,0.0,4.520231,1.698655,0.0,6.0,7
mstat_home_avg_shots,1730,2,0.12,12.827864,3.197183,4.0,25.6,95
mstat_away_avg_shots,1730,2,0.12,13.073457,3.20963,5.2,25.799999,97
mstat_home_avg_shots_on_target,1730,2,0.12,4.48425,1.377882,0.0,10.4,48
mstat_away_avg_shots_on_target,1730,2,0.12,4.575376,1.39093,1.0,10.8,48
mstat_home_avg_corners,1730,2,0.12,5.138252,1.547848,0.8,11.2,53
mstat_away_avg_corners,1730,2,0.12,5.234162,1.555512,1.6,10.8,52
mstat_home_avg_fouls,1730,2,0.12,10.770119,1.850566,4.8,17.0,59
mstat_away_avg_fouls,1730,2,0.12,10.70921,1.832924,4.6,16.799999,61
mstat_home_avg_yellow_cards,1730,2,0.12,1.899093,0.672965,0.2,4.4,24
mstat_away_avg_yellow_cards,1730,2,0.12,1.876572,0.674514,0.0,4.6,30
mstat_home_avg_red_cards,1730,2,0.12,0.058449,0.109229,0.0,0.6,4
mstat_away_avg_red_cards,1730,2,0.12,0.05787,0.109007,0.0,0.6,4
mstat_home_avg_ht_goals,1730,2,0.12,0.649248,0.402376,0.0,2.8,15
mstat_away_avg_ht_goals,1730,2,0.12,0.666156,0.403575,0.0,2.8,16
hours_until_event,1730,0,0.0,23.497833,0.500176,23.0,24.25,3
