feature,pearson_r,pearson_p,spearman_r,spearman_p
tab_consensus_prob,-0.07168,0.002853,-0.059345,0.013559
tab_sharp_prob,-0.068286,0.00449,-0.05638,0.019016
tab_retail_sharp_diff,-0.176396,0.0,-0.189402,0.0
tab_num_bookmakers,0.051848,0.031052,0.056898,0.017943
tab_is_weekend,-0.0259,0.281629,-0.02815,0.241909
tab_day_of_week,-0.009966,0.678695,0.035893,0.135614
mstat_home_avg_shots,0.035841,0.136414,0.042561,0.076933
mstat_away_avg_shots,0.011855,0.622395,0.008298,0.730322
mstat_home_avg_shots_on_target,0.040244,0.094452,0.039189,0.103419
mstat_away_avg_shots_on_target,0.025623,0.287079,0.03492,0.146786
mstat_home_avg_corners,0.070391,0.003416,0.078284,0.001127
mstat_away_avg_corners,0.01643,0.494891,0.003207,0.894015
mstat_home_avg_fouls,0.003523,0.883643,-0.003383,0.888234
mstat_away_avg_fouls,0.011342,0.637534,0.008496,0.724158
mstat_home_avg_yellow_cards,0.011222,0.641096,0.002328,0.922957
mstat_away_avg_yellow_cards,0.005561,0.817318,0.001717,0.94315
mstat_home_avg_red_cards,-0.023872,0.321308,-0.002383,0.921153
mstat_away_avg_red_cards,0.032056,0.182887,0.031426,0.191646
mstat_home_avg_ht_goals,-0.029105,0.226559,-0.024748,0.303866
mstat_away_avg_ht_goals,0.04486,0.062265,0.041308,0.086043
hours_until_event,-0.015971,0.506779,-0.01613,0.502564
