feature,count,null_count,null_pct,mean,std,min,max,nunique
tab_consensus_prob,1730,0,0.0,0.459919,0.203693,0.055122,0.935792,1725
tab_sharp_prob,1730,0,0.0,0.455797,0.204012,0.052743,0.934598,506
tab_retail_sharp_diff,1730,0,0.0,0.008849,0.008674,-0.021622,0.071897,1390
tab_num_bookmakers,1730,0,0.0,7.852023,0.62608,7.0,9.0,3
tab_is_weekend,1730,0,0.0,0.766474,0.423074,0.0,1.0,2
tab_day_of_week,1730,0,0.0,4.520231,1.698655,0.0,6.0,7
eplsched_home_rest_days,1730,50,2.89,7.622842,4.751994,2.0,46.208332,359
eplsched_away_rest_days,1730,50,2.89,7.626661,4.794745,2.0,46.3125,364
eplsched_rest_advantage,1730,50,2.89,-0.003819,2.372368,-19.9375,15.791667,259
eplsched_is_midweek,1730,0,0.0,0.122543,0.327912,0.0,1.0,2
hours_until_event,1730,0,0.0,23.497833,0.500176,23.0,24.25,3
