feature,count,null_count,null_pct,mean,std,min,max,nunique
tab_consensus_prob,1730,0,0.0,0.459919,0.203693,0.055122,0.935792,1725
tab_sharp_prob,1730,0,0.0,0.455797,0.204012,0.052743,0.934598,506
tab_retail_sharp_diff,1730,0,0.0,0.008849,0.008674,-0.021622,0.071897,1390
tab_num_bookmakers,1730,0,0.0,7.852023,0.62608,7.0,9.0,3
tab_is_weekend,1730,0,0.0,0.766474,0.423074,0.0,1.0,2
tab_day_of_week,1730,0,0.0,4.520231,1.698655,0.0,6.0,7
stnd_home_league_position,1730,50,2.89,10.967857,5.701935,1.0,20.0,20
stnd_away_league_position,1730,50,2.89,10.716071,5.651146,1.0,20.0,20
stnd_points_gap,1730,50,2.89,-0.144048,15.059389,-59.0,58.0,103
stnd_home_goal_difference,1730,50,2.89,-0.053571,16.510839,-66.0,72.0,116
stnd_away_goal_difference,1730,50,2.89,0.086905,16.475185,-65.0,72.0,120
stnd_home_form_last_5,1730,50,2.89,1.356458,0.753277,0.0,3.0,28
stnd_away_form_last_5,1730,50,2.89,1.413978,0.7516,0.0,3.0,27
stnd_home_goals_scored_rate,1730,50,2.89,1.434351,0.585205,0.0,4.0,547
stnd_home_goals_conceded_rate,1730,50,2.89,1.454382,0.539868,0.0,5.0,504
stnd_away_goals_scored_rate,1730,50,2.89,1.453006,0.594849,0.0,5.0,562
stnd_away_goals_conceded_rate,1730,50,2.89,1.434242,0.523786,0.0,4.0,491
eplsched_home_rest_days,1730,0,0.0,9.446546,20.628225,2.0,384.0625,372
eplsched_away_rest_days,1730,1,0.06,8.645893,14.145388,2.0,170.75,365
eplsched_rest_advantage,1730,1,0.06,0.762196,12.476068,-85.114586,301.0,361
eplsched_is_midweek,1730,0,0.0,0.122543,0.327912,0.0,1.0,2
eplsched_home_matches_last_14d,1730,0,0.0,3.169364,1.855374,0.0,8.0,9
eplsched_away_matches_last_14d,1730,0,0.0,3.169364,1.846317,0.0,8.0,9
eplsched_home_european_last_7d,1730,0,0.0,0.110983,0.314111,0.0,1.0,2
eplsched_away_european_last_7d,1730,0,0.0,0.088439,0.283933,0.0,1.0,2
hours_until_event,1730,0,0.0,23.497833,0.500176,23.0,24.25,3
