feature,pearson_r,pearson_p,spearman_r,spearman_p
tab_consensus_prob,-0.07168,0.002853,-0.059345,0.013559
tab_sharp_prob,-0.068286,0.00449,-0.05638,0.019016
tab_retail_sharp_diff,-0.176396,0.0,-0.189402,0.0
tab_num_bookmakers,0.051848,0.031052,0.056898,0.017943
tab_is_weekend,-0.0259,0.281629,-0.02815,0.241909
tab_day_of_week,-0.009966,0.678695,0.035893,0.135614
stnd_home_league_position,0.030229,0.215568,0.030161,0.216615
stnd_away_league_position,-0.07322,0.002674,-0.063455,0.00928
stnd_points_gap,-0.037637,0.123055,-0.033029,0.176009
stnd_home_goal_difference,0.004894,0.841142,-0.003755,0.877759
stnd_away_goal_difference,0.082402,0.000723,0.07472,0.00218
stnd_home_form_last_5,-0.024722,0.311194,-0.023923,0.3271
stnd_away_form_last_5,0.036746,0.132188,0.031061,0.203197
stnd_home_goals_scored_rate,-0.054643,0.02511,-0.043526,0.074497
stnd_home_goals_conceded_rate,0.026269,0.281893,0.016984,0.486631
stnd_away_goals_scored_rate,0.117867,1e-06,0.119481,1e-06
stnd_away_goals_conceded_rate,-0.023722,0.331186,-0.015855,0.516061
mstat_home_avg_shots,0.035841,0.136414,0.042561,0.076933
mstat_away_avg_shots,0.011855,0.622395,0.008298,0.730322
mstat_home_avg_shots_on_target,0.040244,0.094452,0.039189,0.103419
mstat_away_avg_shots_on_target,0.025623,0.287079,0.03492,0.146786
mstat_home_avg_corners,0.070391,0.003416,0.078284,0.001127
mstat_away_avg_corners,0.01643,0.494891,0.003207,0.894015
mstat_home_avg_fouls,0.003523,0.883643,-0.003383,0.888234
mstat_away_avg_fouls,0.011342,0.637534,0.008496,0.724158
mstat_home_avg_yellow_cards,0.011222,0.641096,0.002328,0.922957
mstat_away_avg_yellow_cards,0.005561,0.817318,0.001717,0.94315
mstat_home_avg_red_cards,-0.023872,0.321308,-0.002383,0.921153
mstat_away_avg_red_cards,0.032056,0.182887,0.031426,0.191646
mstat_home_avg_ht_goals,-0.029105,0.226559,-0.024748,0.303866
mstat_away_avg_ht_goals,0.04486,0.062265,0.041308,0.086043
fplav_home_expected_disruption,-0.033142,0.199694,-0.016845,0.51459
fplav_away_expected_disruption,0.105525,4.2e-05,0.105456,4.3e-05
fplav_diff_expected_disruption,-0.103638,5.8e-05,-0.087263,0.000719
fplav_home_expected_disruption_unweighted,-0.032103,0.214157,-0.028946,0.262706
fplav_away_expected_disruption_unweighted,-0.003805,0.882991,-0.006474,0.802241
fplav_diff_expected_disruption_unweighted,-0.025731,0.319456,-0.016209,0.53061
fplav_home_n_flagged_players,-0.020599,0.425472,-0.015282,0.554379
fplav_away_n_flagged_players,-1.8e-05,0.999444,-0.003982,0.877589
fplav_diff_n_flagged_players,-0.018707,0.469218,-0.005887,0.819841
hours_until_event,-0.015971,0.506779,-0.01613,0.502564
