feature,pearson_r,pearson_p,spearman_r,spearman_p
tab_consensus_prob,-0.073389,0.001761,-0.062073,0.008182
tab_sharp_prob,-0.069476,0.00307,-0.058455,0.012771
tab_retail_sharp_diff,-0.181649,0.0,-0.193998,0.0
tab_num_bookmakers,0.026938,0.251483,0.057611,0.014126
tab_is_weekend,-0.026385,0.261355,-0.028637,0.222809
tab_day_of_week,-0.011385,0.627986,0.031774,0.176156
stnd_home_league_position,0.028358,0.233875,0.028033,0.239281
stnd_away_league_position,-0.074843,0.001657,-0.064714,0.00655
stnd_points_gap,-0.039463,0.097532,-0.03488,0.143099
stnd_home_goal_difference,0.000875,0.970693,-0.008149,0.73235
stnd_away_goal_difference,0.082864,0.000494,0.075422,0.001524
stnd_home_form_last_5,-0.021818,0.359755,-0.020383,0.392243
stnd_away_form_last_5,0.041375,0.082342,0.03662,0.124182
stnd_home_goals_scored_rate,-0.054303,0.022562,-0.044534,0.061479
stnd_home_goals_conceded_rate,0.029407,0.21702,0.021517,0.366442
stnd_away_goals_scored_rate,0.118151,1e-06,0.119065,1e-06
stnd_away_goals_conceded_rate,-0.025287,0.288475,-0.016643,0.484833
mstat_home_avg_shots,0.037168,0.113743,0.042115,0.073084
mstat_away_avg_shots,0.017816,0.448494,0.014168,0.546695
mstat_home_avg_shots_on_target,0.040741,0.08296,0.038602,0.100448
mstat_away_avg_shots_on_target,0.030423,0.195506,0.040437,0.085284
mstat_home_avg_corners,0.066712,0.004498,0.074766,0.001448
mstat_away_avg_corners,0.013984,0.551916,0.000388,0.986835
mstat_home_avg_fouls,-0.000184,0.993749,-0.006797,0.772462
mstat_away_avg_fouls,0.001817,0.9384,-0.001075,0.963528
mstat_home_avg_yellow_cards,-0.002719,0.907915,-0.011443,0.626404
mstat_away_avg_yellow_cards,0.000491,0.983352,-0.003557,0.879733
mstat_home_avg_red_cards,-0.028976,0.217628,-0.008314,0.723575
mstat_away_avg_red_cards,0.033988,0.148123,0.034178,0.145862
mstat_home_avg_ht_goals,-0.029928,0.202891,-0.025722,0.273804
mstat_away_avg_ht_goals,0.047102,0.04499,0.04488,0.056121
eplsched_home_rest_days,-0.009251,0.693775,-0.001372,0.953447
eplsched_away_rest_days,-0.042637,0.069516,-0.034484,0.142174
eplsched_rest_advantage,0.027941,0.234386,0.02476,0.292029
eplsched_is_midweek,0.025626,0.275331,0.025882,0.270564
eplsched_home_matches_last_14d,-0.011659,0.619736,-0.007455,0.751016
eplsched_away_matches_last_14d,0.013511,0.565227,0.007368,0.753813
eplsched_home_european_last_7d,-0.01412,0.54785,-0.007292,0.756294
eplsched_away_european_last_7d,0.066249,0.004761,0.066772,0.00444
hours_until_event,-0.03014,0.199461,-0.020246,0.388804
