feature,count,null_count,null_pct,mean,std,min,max,nunique
tab_consensus_prob,1814,0,0.0,0.459657,0.202401,0.055122,0.935792,1809
tab_sharp_prob,1814,0,0.0,0.455039,0.202742,0.052743,0.934598,515
tab_retail_sharp_diff,1814,0,0.0,0.009333,0.008848,-0.021622,0.071897,1462
tab_num_bookmakers,1814,0,0.0,7.829658,1.206461,5.0,19.0,7
tab_is_weekend,1814,0,0.0,0.767365,0.422512,0.0,1.0,2
tab_day_of_week,1814,0,0.0,4.522602,1.701639,0.0,6.0,7
stnd_home_league_position,1814,50,2.76,10.961452,5.697663,1.0,20.0,20
stnd_away_league_position,1814,50,2.76,10.710318,5.661611,1.0,20.0,20
stnd_points_gap,1814,50,2.76,-0.154195,15.105676,-59.0,58.0,104
stnd_home_goal_difference,1814,50,2.76,-0.055556,16.406412,-66.0,72.0,116
stnd_away_goal_difference,1814,50,2.76,0.105442,16.429993,-65.0,72.0,120
stnd_home_form_last_5,1814,50,2.76,1.35411,0.746567,0.0,3.0,28
stnd_away_form_last_5,1814,50,2.76,1.409571,0.746193,0.0,3.0,27
stnd_home_goals_scored_rate,1814,50,2.76,1.431332,0.576157,0.0,4.0,559
stnd_home_goals_conceded_rate,1814,50,2.76,1.45074,0.531435,0.0,5.0,521
stnd_away_goals_scored_rate,1814,50,2.76,1.450696,0.585604,0.0,5.0,576
stnd_away_goals_conceded_rate,1814,50,2.76,1.431912,0.517046,0.0,4.0,512
hours_until_event,1814,0,0.0,23.552336,1.064453,15.337222,44.045834,16
