feature,pearson_r,pearson_p,spearman_r,spearman_p
tab_consensus_prob,-0.073389,0.001761,-0.062073,0.008182
tab_sharp_prob,-0.069476,0.00307,-0.058455,0.012771
tab_retail_sharp_diff,-0.181649,0.0,-0.193998,0.0
tab_num_bookmakers,0.026938,0.251483,0.057611,0.014126
tab_is_weekend,-0.026385,0.261355,-0.028637,0.222809
tab_day_of_week,-0.011385,0.627986,0.031774,0.176156
stnd_home_league_position,0.028358,0.233875,0.028033,0.239281
stnd_away_league_position,-0.074843,0.001657,-0.064714,0.00655
stnd_points_gap,-0.039463,0.097532,-0.03488,0.143099
stnd_home_goal_difference,0.000875,0.970693,-0.008149,0.73235
stnd_away_goal_difference,0.082864,0.000494,0.075422,0.001524
stnd_home_form_last_5,-0.021818,0.359755,-0.020383,0.392243
stnd_away_form_last_5,0.041375,0.082342,0.03662,0.124182
stnd_home_goals_scored_rate,-0.054303,0.022562,-0.044534,0.061479
stnd_home_goals_conceded_rate,0.029407,0.21702,0.021517,0.366442
stnd_away_goals_scored_rate,0.118151,1e-06,0.119065,1e-06
stnd_away_goals_conceded_rate,-0.025287,0.288475,-0.016643,0.484833
hours_until_event,-0.03014,0.199461,-0.020246,0.388804
